application_id,application_date,age,monthly_income,requested_amount,credit_score,channel,status,processing_hours
A00374,2025-01-10,57,1811.41,1105.8,707,Web,Approved,32.7
A00375,2025-02-18,32,492.29,667.59,655,Partner,Rejected,4.7
A00376,2025-05-24,28,734.42,1741.47,818,Partner,Approved,19.1
A00377,2025-04-27,35,813.74,2376.8,663,Mobile App,Rejected,6.5
A00378,2025-01-10,45,2535.69,2468.75,614,Mobile App,Rejected,24.4
A00379,2025-07-22,24,2797.26,1486.48,662,Web,Approved,14.2
A00380,2025-08-12,57,2883.79,3668.53,646,Partner,Rejected,25.0
A00381,2025-01-28,41,1979.73,3839.87,641,Mobile App,Rejected,18.4
A00382,2025-08-05,21,1497.96,2217.03,697,Web,Approved,19.7
A00383,2025-04-13,53,2457.79,1056.82,622,Web,Approved,22.6
A00384,2025-08-21,23,2899.2,3560.62,784,Mobile App,Rejected,13.6
A00385,2025-11-25,38,3241.48,2569.19,620,Mobile App,Rejected,5.0
A00386,2025-11-15,27,1139.33,2177.16,692,Mobile App,Approved,16.1
A00387,2025-05-28,28,1312.05,2660.58,673,Partner,Approved,18.1
A00388,2025-09-21,38,616.09,2442.94,584,Web,Rejected,19.5
A00389,2025-03-05,53,763.81,1315.68,695,Web,Rejected,13.5
A00390,2025-05-21,36,2668.18,3013.53,695,Web,Approved,24.5
A00391,2025-11-09,57,1048.09,1669.28,683,Web,Approved,12.0
A00392,2025-08-24,56,1306.66,2015.85,755,Mobile App,Rejected,11.0
A00393,2025-05-05,42,1047.98,2147.31,632,Partner,Approved,7.1
A00394,2025-07-22,21,3261.2,816.72,680,Web,Rejected,6.7
A00395,2025-10-13,41,1897.93,1282.32,646,Web,Rejected,17.1
A00396,2025-01-30,22,849.49,453.84,682,Web,Rejected,21.1
A00397,2025-12-03,24,1978.54,3370.45,699,Mobile App,Approved,15.2
A00398,2025-09-24,35,3466.32,2775.11,658,Web,Rejected,10.4
A00399,2025-06-22,43,792.03,969.47,722,Web,Rejected,14.2
A00400,2025-09-23,27,2677.11,3024.46,653,Web,Rejected,19.9
A00401,2025-05-18,29,1651.06,592.75,686,Partner,Approved,14.7
A00402,2025-10-27,28,1918.33,3858.42,581,Web,Rejected,17.1
A00403,2025-05-24,28,1545.62,1918.68,695,Partner,Approved,18.4
A00404,2025-06-30,39,1461.8,2199.26,651,Partner,Rejected,8.2
A00405,2025-06-14,21,2829.3,3428.35,665,Web,Approved,19.6
A00406,2025-06-03,32,2041.15,3251.22,671,Web,Approved,17.0
A00407,2025-10-25,35,626.98,3696.61,649,Partner,Rejected,16.4
A00408,2025-05-05,41,993.58,1820.5,695,Mobile App,Rejected,8.7
A00409,2025-01-14,24,1158.13,3604.39,729,Partner,Approved,23.5
A00410,2025-06-09,55,2302.98,1861.21,732,Partner,Rejected,13.1
A00411,2025-12-17,48,1576.98,1559.31,667,Web,Rejected,5.9
A00412,2025-08-20,21,2480.9,2195.94,729,Web,Approved,3.0
A00413,2025-09-14,46,2392.89,3727.97,654,Mobile App,Approved,15.6
A00414,2025-08-04,52,1615.17,3115.85,735,Partner,Rejected,14.0
A00415,2025-06-25,54,2701.37,550.52,617,Web,Rejected,4.0
A00416,2025-02-08,40,1964.67,619.94,632,Partner,Rejected,14.7
A00417,2025-06-25,53,3147.65,1799.37,683,Web,Approved,16.6
A00418,2025-09-19,34,1940.4,914.81,635,Partner,Approved,16.5
A00419,2025-10-17,27,1462.53,3976.25,744,Mobile App,Rejected,6.3
A00420,2025-12-21,47,383.81,210.56,682,Partner,Rejected,25.3
A00421,2025-01-03,40,1602.33,574.29,716,Mobile App,Approved,14.8
A00422,2025-04-11,32,1918.26,2302.35,722,Partner,Approved,12.7
A00423,2025-09-30,53,3490.9,2382.98,680,Mobile App,Approved,28.9
A00424,2025-03-16,31,1983.04,2136.05,803,Mobile App,Approved,6.0
A00425,2025-03-29,54,1894.84,1976.57,725,Mobile App,Approved,31.6
A00426,2025-11-29,21,2506.38,2399.6,644,Mobile App,Approved,19.8
A00427,2025-07-01,38,883.66,1213.12,777,Partner,Approved,14.6
A00428,2025-02-02,43,953.71,2571.21,709,Mobile App,Approved,17.6
A00429,2025-07-22,58,2756.78,366.91,554,Mobile App,Approved,20.4
A00430,2025-05-08,35,488.53,3737.13,668,Web,Rejected,20.5
A00431,2025-01-04,50,1306.58,2489.7,816,Web,Rejected,18.8
A00432,2025-02-04,36,2483.44,2764.66,656,Web,Rejected,17.2
A00433,2025-06-08,46,3107.22,2040.68,693,Mobile App,Rejected,21.2
A00434,2025-02-14,32,885.26,1640.24,586,Web,Approved,9.8
A00435,2025-07-22,56,1493.25,1473.06,547,Web,Rejected,18.2
A00436,2025-07-26,25,3377.87,1804.65,678,Partner,Rejected,9.5
A00437,2025-05-06,45,952.27,1277.63,632,Mobile App,Approved,14.0
A00438,2025-05-23,22,1425.48,792.39,619,Mobile App,Rejected,11.8
A00439,2025-04-11,38,2066.33,3192.35,647,Web,Approved,27.7
A00440,2025-05-03,31,1508.94,1022.61,701,Partner,Approved,12.3
A00441,2025-10-25,34,1286.35,2008.62,642,Web,Approved,26.4
A00442,2025-12-12,29,3317.57,3992.09,709,Web,Approved,20.1
A00443,2025-10-28,44,2034.18,1735.77,726,Mobile App,Approved,29.1
A00444,2025-03-04,53,638.13,3437.06,600,Web,Rejected,8.8
A00445,2025-01-15,57,806.97,257.0,566,Partner,Rejected,17.5
A00446,2025-04-01,35,1361.27,2718.45,655,Partner,Approved,13.3
A00447,2025-07-05,53,2739.13,932.73,630,Mobile App,Rejected,18.8
A00448,2025-04-26,39,747.32,2923.43,670,Web,Rejected,10.3
A00449,2025-08-26,29,3300.73,870.3,761,Partner,Approved,10.7
A00450,2025-12-20,43,3175.37,296.0,597,Web,Rejected,32.2
A00451,2025-05-08,46,1459.16,2589.54,656,Mobile App,Approved,14.2
A00452,2025-05-19,35,2594.65,353.72,632,Mobile App,Approved,17.0
A00453,2025-08-09,33,2734.42,793.52,730,Partner,Approved,23.3
A00454,2025-06-09,32,2128.33,1065.09,715,Partner,Approved,16.0
A00455,2025-05-11,48,2460.92,2386.05,583,Mobile App,Rejected,16.0
A00456,2025-12-02,39,3188.37,3525.43,778,Partner,Approved,25.5
A00457,2025-01-25,36,2495.37,341.1,669,Web,Approved,23.6
A00458,2025-02-14,47,2538.23,1695.81,654,Mobile App,Rejected,13.6
A00459,2025-05-24,54,633.29,3796.17,599,Web,Rejected,11.8
A00460,2025-12-21,53,2676.62,3353.96,689,Web,Rejected,12.8
A00461,2025-09-18,24,2481.25,982.68,730,Mobile App,Approved,31.2
A00462,2025-09-08,33,487.63,2870.41,765,Web,Rejected,11.9
A00463,2025-03-31,55,865.64,3167.27,632,Web,Approved,13.4
A00464,2025-05-08,24,879.36,1519.47,616,Partner,Approved,18.2
A00465,2025-06-09,29,780.14,2886.5,707,Mobile App,Rejected,15.3
A00466,2025-12-28,36,368.52,2827.8,692,Partner,Approved,19.1
A00467,2025-06-29,40,770.21,2889.32,671,Mobile App,Rejected,8.8
A00468,2025-06-20,28,2077.02,3089.96,792,Partner,Approved,25.3
A00469,2025-03-21,50,2994.38,1743.18,620,Partner,Approved,11.7
A00470,2025-05-29,21,1485.51,984.44,641,Web,Approved,18.2
A00471,2025-06-05,33,698.38,1373.88,761,Mobile App,Rejected,21.1
A00472,2025-06-16,49,1826.28,1579.31,749,Mobile App,Approved,25.6
A00473,2025-01-24,21,1825.81,3923.33,751,Partner,Approved,23.2
A00474,2025-06-19,57,1182.96,2651.41,709,Web,Rejected,13.2
A00475,2025-04-08,55,1363.71,1565.32,566,Web,Approved,17.1
A00476,2025-11-18,37,2407.18,496.95,797,Mobile App,Approved,14.2
A00477,2025-07-22,30,1283.39,905.79,639,Partner,Rejected,21.1
A00478,2025-03-28,27,2821.54,3355.5,685,Web,Rejected,10.6
A00479,2025-07-14,32,2389.01,1553.74,781,Mobile App,Approved,22.4
A00480,2025-10-10,44,2989.14,1163.49,729,Mobile App,Approved,14.0
A00481,2025-10-18,46,3201.37,3790.75,712,Web,Approved,20.6
A00482,2025-03-22,40,2248.27,2580.68,730,Mobile App,Approved,26.0
A00483,2025-03-25,29,1746.04,3885.29,753,Mobile App,Approved,19.2
A00484,2025-08-14,51,951.06,2947.21,724,Partner,Approved,10.0
A00485,2025-09-19,48,800.96,473.58,721,Partner,Approved,22.8
A00486,2025-08-04,42,547.56,233.43,654,Mobile App,Rejected,8.6
A00487,2025-03-26,45,1281.58,1883.99,676,Web,Approved,9.5
A00488,2025-10-18,33,1826.84,2262.34,702,Web,Approved,20.1
A00489,2025-10-01,30,3419.26,3854.91,618,Mobile App,Rejected,14.3
A00490,2025-12-13,42,2268.82,1328.75,749,Web,Approved,25.4
A00491,2025-09-04,29,1292.83,1504.95,745,Mobile App,Rejected,12.9
A00492,2025-04-07,35,2487.85,1899.91,658,Partner,Approved,15.3
A00493,2025-10-24,44,2097.86,3784.08,718,Mobile App,Approved,34.5
A00494,2025-10-17,49,1598.48,634.16,771,Mobile App,Approved,29.1
A00495,2025-10-08,28,1046.97,3381.82,767,Mobile App,Rejected,2.7
A00496,2025-09-29,37,2583.66,1062.56,666,Partner,Approved,15.0
A00497,2025-10-21,28,2667.1,3655.16,761,Web,Approved,29.8
A00498,2025-12-14,25,2871.05,710.28,636,Partner,Approved,18.3
A00499,2025-02-28,53,671.59,3354.8,716,Mobile App,Rejected,10.6
A00500,2025-04-09,57,1846.59,553.84,639,Partner,Approved,13.3
A00501,2025-01-30,46,1096.24,1614.92,737,Partner,Approved,11.6
A00502,2025-04-20,50,1294.78,2888.22,753,Mobile App,Approved,18.6
A00503,2025-11-15,33,2123.32,3686.52,728,Mobile App,Rejected,24.8
A00504,2025-07-07,42,2882.95,2997.07,636,Web,Approved,12.3
A00505,2025-03-04,36,1525.0,3001.55,707,Partner,Rejected,6.8
A00506,2025-09-08,23,2922.12,1543.08,632,Web,Approved,17.2
A00507,2025-11-05,28,457.56,3658.87,690,Web,Approved,9.3
A00508,2025-04-09,49,417.04,3957.18,655,Mobile App,Rejected,18.1
A00509,2025-09-07,28,582.33,1182.0,767,Web,Approved,4.3
A00510,2025-12-18,45,2984.05,2435.6,764,Partner,Approved,24.2
A00511,2025-05-18,49,393.47,1501.0,609,Partner,Approved,7.7
A00512,2025-09-05,23,2871.43,334.74,707,Partner,Approved,15.1
A00513,2025-12-14,46,3005.32,3876.61,688,Web,Rejected,20.0
A00514,2025-07-21,35,3100.01,2521.21,655,Web,Approved,19.1
A00515,2025-09-28,34,1330.46,697.5,710,Mobile App,Rejected,20.2
A00516,2025-03-28,44,2640.82,1459.2,794,Web,Approved,29.9
A00517,2025-06-10,21,1406.84,2037.06,695,Mobile App,Approved,16.4
A00518,2025-08-24,23,2337.25,2962.46,820,Web,Approved,22.5
A00519,2025-05-20,25,1925.01,1195.86,707,Partner,Approved,10.3
A00520,2025-10-27,29,3475.37,329.62,730,Mobile App,Approved,12.6
A00521,2025-04-13,48,2344.27,2611.57,650,Web,Approved,8.7
A00522,2025-05-02,30,2496.2,1355.18,646,Partner,Rejected,14.4
A00523,2025-07-05,53,3037.59,1131.77,582,Partner,Rejected,7.8
A00524,2025-07-27,42,540.41,1481.42,674,Web,Rejected,5.2
A00525,2025-09-15,44,3166.73,3275.03,599,Mobile App,Rejected,8.2
A00526,2025-03-11,34,372.78,3509.71,589,Web,Rejected,18.3
A00527,2025-07-22,57,2782.9,3732.02,615,Mobile App,Rejected,19.4
A00528,2025-06-04,40,1144.17,2373.21,739,Web,Rejected,5.7
A00529,2025-02-07,33,2187.53,504.12,682,Partner,Approved,14.7
A00530,2025-06-30,50,1474.48,3142.87,606,Mobile App,Rejected,11.7
A00531,2025-09-06,41,3182.18,1248.31,664,Mobile App,Approved,23.0
A00532,2025-03-26,38,1096.24,276.25,746,Web,Approved,10.3
A00533,2025-04-13,39,3071.83,2662.76,653,Partner,Approved,21.7
A00534,2025-01-30,29,2243.22,501.37,756,Partner,Approved,1.0
A00535,2025-06-24,29,365.91,1228.4,762,Mobile App,Rejected,12.8
A00536,2025-11-24,41,3257.1,1006.46,779,Partner,Approved,15.0
A00537,2025-01-14,52,1626.75,2780.06,626,Mobile App,Approved,18.3
A00538,2025-08-01,23,624.67,2528.61,755,Partner,Rejected,14.2
A00539,2025-07-24,37,3311.75,3518.59,527,Web,Approved,22.8
A00540,2025-10-16,41,526.46,2533.08,575,Web,Rejected,7.2
A00541,2025-03-22,26,408.59,999.83,604,Mobile App,Rejected,1.2
A00542,2025-07-03,44,1683.18,2246.91,598,Partner,Rejected,7.1
A00543,2025-03-20,57,1392.14,3016.12,640,Partner,Approved,17.6
A00544,2025-09-02,23,2794.37,1375.16,658,Partner,Rejected,3.6
A00545,2025-08-21,56,1226.53,2188.62,668,Mobile App,Rejected,20.8
A00546,2025-05-10,21,2108.12,579.2,741,Web,Approved,18.9
A00547,2025-03-19,35,1612.66,3920.52,720,Partner,Rejected,20.2
A00548,2025-03-10,28,539.52,2107.03,768,Mobile App,Rejected,25.9
A00549,2025-05-13,44,2673.43,3630.86,659,Mobile App,Rejected,12.1
A00550,2025-09-28,22,1455.11,2896.6,775,Web,Approved,28.9
A00551,2025-04-20,43,3188.24,1678.31,780,Mobile App,Approved,1.6
A00552,2025-02-25,21,556.13,2652.75,665,Web,Rejected,1.0
A00553,2025-01-31,35,2127.23,1757.72,727,Partner,Rejected,14.4
A00554,2025-11-18,35,446.73,278.91,683,Mobile App,Rejected,13.0
A00555,2025-04-29,43,990.1,3084.84,764,Web,Rejected,11.9
A00556,2025-09-13,34,3441.24,3205.15,747,Web,Approved,21.9
A00557,2025-03-11,40,1240.08,1459.81,703,Mobile App,Approved,21.2
A00558,2025-03-24,41,2500.74,2470.85,687,Partner,Approved,10.3
A00559,2025-01-27,34,3031.74,2994.93,726,Web,Approved,23.0
A00560,2025-04-04,48,3071.5,3980.33,670,Mobile App,Approved,23.1
A00561,2025-02-27,30,3419.16,235.82,738,Mobile App,Rejected,5.0
A00562,2025-09-15,43,657.28,841.22,670,Mobile App,Rejected,10.9
A00563,2025-08-01,42,2372.81,2728.33,621,Web,Approved,20.3
A00564,2025-01-17,58,1089.03,3210.02,625,Mobile App,Rejected,11.0
A00565,2025-03-11,53,2224.82,2384.43,695,Partner,Rejected,16.4
A00566,2025-01-11,24,3470.96,1402.66,700,Mobile App,Rejected,29.6
A00567,2025-09-07,29,2005.06,209.77,647,Partner,Approved,19.8
A00568,2025-03-17,55,1927.3,626.98,601,Web,Rejected,17.4
A00569,2025-02-09,43,3407.05,3442.07,754,Mobile App,Rejected,22.5
A00570,2025-02-07,38,2566.29,257.79,638,Mobile App,Approved,16.0
A00571,2025-04-11,53,500.75,3200.17,762,Web,Rejected,13.3
A00572,2025-01-06,41,2517.65,2681.84,742,Partner,Approved,11.2
A00573,2025-06-19,47,3444.44,3521.48,769,Web,Approved,25.2
A00574,2025-08-05,41,2050.99,1655.31,710,Web,Approved,12.4
A00575,2025-07-29,30,3179.01,2612.92,669,Partner,Approved,19.1
A00576,2025-05-11,45,3471.69,3337.11,697,Mobile App,Rejected,13.3
A00577,2025-11-14,23,3211.84,388.14,665,Web,Rejected,15.3
A00578,2025-12-17,49,2079.19,1399.34,770,Mobile App,Rejected,1.0
A00579,2025-08-31,51,1956.91,2450.72,590,Mobile App,Rejected,3.2
A00580,2025-11-19,45,1468.89,443.65,635,Web,Rejected,1.8
A00581,2025-11-10,41,576.78,3229.8,715,Partner,Rejected,14.7
A00582,2025-05-16,37,3212.55,1998.45,663,Partner,Rejected,9.2
A00583,2025-10-29,51,2147.72,3997.76,690,Partner,Approved,19.2
A00584,2025-07-06,54,995.25,842.7,701,Partner,Rejected,8.9
A00585,2025-03-30,30,2938.94,1949.14,722,Partner,Approved,7.7
A00586,2025-01-23,41,1550.98,3362.06,761,Mobile App,Approved,1.0
A00587,2025-07-29,30,2563.26,1625.56,641,Partner,Approved,9.6
A00588,2025-09-25,54,1302.56,2716.5,731,Web,Approved,7.6
A00589,2025-08-17,28,1765.34,2017.69,798,Partner,Approved,7.2
A00590,2025-03-18,21,2492.57,1594.32,811,Mobile App,Approved,21.1
A00591,2025-11-15,44,1998.67,3245.92,681,Partner,Approved,21.1
A00592,2025-04-13,21,2147.23,419.39,820,Partner,Approved,24.3
A00593,2025-10-06,38,3238.31,1171.36,534,Web,Approved,26.4
A00594,2025-02-16,54,2353.85,3463.79,695,Web,Approved,6.7
A00595,2025-05-29,44,3249.64,2926.14,729,Mobile App,Approved,9.5
A00596,2025-12-31,39,3404.82,1837.67,691,Web,Rejected,15.6
A00597,2025-06-30,36,1563.88,2399.06,637,Mobile App,Rejected,18.5
A00598,2025-12-31,58,1522.92,2729.29,613,Mobile App,Rejected,15.3
A00599,2025-02-10,49,1545.12,2198.1,644,Partner,Approved,16.7
A00600,2025-01-14,27,2217.25,1957.66,804,Web,Approved,18.8
A00601,2025-08-01,51,905.13,447.36,609,Mobile App,Rejected,13.2
A00602,2025-09-20,21,2461.7,3013.7,629,Mobile App,Approved,18.2
A00603,2025-12-15,39,2094.63,3123.07,690,Mobile App,Rejected,14.6
A00604,2025-02-16,35,3020.85,2369.9,685,Web,Approved,14.2
A00605,2025-02-15,34,2127.9,409.02,709,Partner,Approved,25.4
A00606,2025-06-21,51,3068.44,2291.43,639,Partner,Rejected,13.6
A00607,2025-03-13,47,2923.08,3513.34,683,Web,Approved,26.8
A00608,2025-04-08,54,3444.02,907.36,750,Partner,Approved,12.9
A00609,2025-05-15,26,1336.08,1169.09,684,Partner,Rejected,3.5
A00610,2025-07-22,53,3140.26,2788.04,617,Mobile App,Rejected,14.1
A00611,2025-07-14,48,3048.42,1176.92,720,Mobile App,Approved,24.7
A00612,2025-04-17,55,2404.6,3743.31,659,Partner,Rejected,4.5
A00613,2025-10-26,30,1502.04,3245.51,705,Partner,Approved,16.8
A00614,2025-10-12,24,2647.17,232.34,707,Partner,Approved,19.1
A00615,2025-06-15,23,1211.7,3225.14,726,Partner,Approved,22.6
A00616,2025-04-18,58,2273.79,1742.82,734,Mobile App,Approved,14.8
A00617,2025-04-15,24,917.42,3460.87,744,Mobile App,Approved,14.5
A00618,2025-02-06,52,917.52,3705.11,685,Mobile App,Rejected,27.0
A00619,2025-09-13,35,2472.63,2764.84,703,Mobile App,Approved,9.8
A00620,2025-10-01,31,809.19,3687.86,776,Mobile App,Approved,25.0
A00621,2025-08-27,27,985.13,547.82,754,Mobile App,Approved,19.4
A00622,2025-12-04,37,2574.56,1881.14,702,Mobile App,Approved,16.4
A00623,2025-12-23,29,481.53,3377.28,634,Mobile App,Rejected,24.7
A00624,2025-10-26,41,2576.87,2933.56,656,Web,Approved,14.6
A00625,2025-06-16,56,3000.11,777.21,651,Mobile App,Rejected,27.0
A00626,2025-07-20,23,1381.99,792.74,737,Partner,Approved,15.4
A00627,2025-10-07,26,974.19,765.9,677,Web,Approved,21.6
A00628,2025-12-14,46,710.27,3348.28,737,Mobile App,Approved,6.7
A00629,2025-12-02,54,2007.96,1304.88,738,Web,Approved,16.5
A00630,2025-02-17,33,1876.94,3483.17,635,Partner,Rejected,11.3
A00631,2025-02-15,33,790.08,1230.46,731,Mobile App,Rejected,26.3
A00632,2025-10-24,40,452.07,2475.41,689,Web,Rejected,17.9
A00633,2025-04-10,30,2418.08,390.21,627,Web,Approved,21.4
A00634,2025-09-04,36,1388.1,1583.39,733,Web,Approved,7.6
A00635,2025-02-05,56,1783.2,3038.45,646,Mobile App,Approved,23.5
A00636,2025-11-01,46,1803.4,328.16,565,Mobile App,Rejected,11.4
A00637,2025-07-31,29,1658.28,3381.32,719,Partner,Approved,6.2
A00638,2025-12-06,31,1482.23,2718.43,654,Mobile App,Approved,18.4
A00639,2025-11-27,51,1305.66,1192.87,737,Mobile App,Approved,9.0
A00640,2025-03-01,30,1912.81,2236.75,752,Web,Approved,20.1
A00641,2025-05-06,31,2140.38,359.84,757,Mobile App,Approved,26.1
A00642,2025-05-26,46,2099.17,3954.55,702,Partner,Rejected,17.4
A00643,2025-10-01,53,1104.89,560.98,566,Mobile App,Approved,8.5
A00644,2025-09-08,57,1014.45,3026.08,614,Mobile App,Approved,15.6
A00645,2025-03-20,37,3494.2,1811.21,740,Mobile App,Approved,5.5
A00646,2025-05-30,57,3155.09,520.44,659,Mobile App,Approved,8.8
A00647,2025-05-05,53,2588.99,436.13,578,Partner,Approved,28.3
A00648,2025-06-22,27,479.85,2549.34,686,Web,Rejected,25.4
A00649,2025-06-25,26,2903.24,1954.8,756,Mobile App,Rejected,7.6
A00650,2025-06-12,47,2827.8,322.51,559,Mobile App,Rejected,28.5
A00651,2025-09-19,31,826.39,1508.41,653,Mobile App,Approved,10.0
A00652,2025-04-23,42,2582.08,454.17,724,Web,Approved,19.0
A00653,2025-01-20,52,2005.49,1454.01,636,Partner,Approved,15.6
A00654,2025-11-22,25,976.97,2575.59,690,Web,Rejected,14.5
A00655,2025-02-17,43,2185.75,3252.71,729,Partner,Approved,15.5
A00656,2025-09-12,29,1166.81,2835.98,657,Mobile App,Approved,22.2
A00657,2025-08-27,58,868.88,1666.13,700,Partner,Rejected,21.7
A00658,2025-06-03,58,2024.76,3794.57,663,Web,Approved,17.3
A00659,2025-04-29,36,973.74,1940.04,604,Web,Approved,28.5
A00660,2025-10-22,24,1584.84,3178.6,589,Partner,Rejected,15.4
A00661,2025-06-25,45,1629.66,530.97,622,Web,Rejected,16.4
A00662,2025-12-06,48,2847.79,217.08,728,Mobile App,Approved,6.5
A00663,2025-02-26,51,1668.77,2498.08,666,Web,Approved,5.7
A00664,2025-10-07,34,611.76,1696.71,771,Mobile App,Rejected,10.9
A00665,2025-05-30,42,627.13,1229.84,577,Web,Rejected,9.1
A00666,2025-07-28,55,2892.46,658.7,765,Mobile App,Approved,28.4
A00667,2025-07-12,32,1577.46,1464.11,762,Mobile App,Approved,12.5
A00668,2025-04-25,43,3153.05,2518.92,670,Web,Rejected,25.4
A00669,2025-06-07,52,1353.25,3529.59,632,Partner,Rejected,11.7
A00670,2025-04-07,31,1581.45,234.42,617,Mobile App,Rejected,5.9
A00671,2025-05-06,50,2130.57,2697.17,758,Partner,Approved,22.4
A00672,2025-02-21,56,2663.9,3061.94,709,Mobile App,Approved,22.1
A00673,2025-05-10,47,589.09,2571.27,746,Web,Rejected,24.6
A00674,2025-07-05,40,2432.67,2601.31,679,Partner,Approved,15.6
A00675,2025-12-13,24,3207.64,2092.84,613,Mobile App,Rejected,21.6
A00676,2025-01-30,28,2105.85,1901.39,646,Mobile App,Rejected,3.5
A00677,2025-11-07,50,460.59,1435.74,662,Web,Approved,18.2
A00678,2025-03-15,33,2200.78,2391.71,734,Web,Approved,25.0
A00679,2025-03-30,58,2370.71,1267.31,632,Web,Rejected,8.4
A00680,2025-10-06,22,1675.21,3916.97,658,Partner,Rejected,5.5
A00681,2025-11-24,45,1902.93,3903.42,672,Web,Approved,21.2
A00682,2025-06-15,31,2975.52,2083.89,682,Partner,Approved,6.7
A00683,2025-06-27,29,982.47,3268.27,602,Web,Approved,27.0
A00684,2025-09-24,31,2496.43,3648.84,614,Web,Rejected,19.2
A00685,2025-07-04,32,1207.9,3586.72,721,Partner,Approved,15.7
A00686,2025-06-14,49,1619.69,2789.91,615,Web,Rejected,15.5
A00687,2025-07-17,51,1190.57,975.1,622,Web,Rejected,12.8
A00688,2025-09-14,47,2356.9,3158.86,686,Mobile App,Approved,13.0
A00689,2025-05-23,55,1831.19,2323.23,665,Mobile App,Rejected,11.8
A00690,2025-05-21,46,1492.64,3686.46,599,Web,Rejected,12.7
A00691,2025-11-19,28,1168.14,3131.18,638,Partner,Approved,5.2
A00692,2025-10-18,40,1464.01,3771.71,658,Mobile App,Approved,16.0
A00693,2025-02-05,56,653.67,2490.49,640,Partner,Rejected,1.0
A00694,2025-02-26,40,872.65,870.39,730,Partner,Rejected,18.8
A00695,2025-12-21,28,2790.02,1699.09,722,Partner,Rejected,16.3
A00696,2025-06-24,46,1586.6,3261.78,598,Mobile App,Rejected,14.9
A00697,2025-12-31,30,2025.14,2180.54,619,Web,Rejected,29.3
A00698,2025-03-10,34,1417.0,450.61,646,Partner,Approved,22.7
A00699,2025-01-02,57,2453.61,2395.73,579,Partner,Rejected,5.7
A00700,2025-05-21,29,826.14,2751.89,645,Partner,Rejected,18.9
A00701,2025-03-05,39,3181.27,3023.43,715,Partner,Rejected,16.0
A00702,2025-07-15,39,763.53,2875.62,559,Partner,Rejected,21.9
A00703,2025-05-21,25,2780.3,2498.42,619,Partner,Rejected,25.3
A00704,2025-04-20,35,1324.14,1567.02,801,Mobile App,Approved,23.8
A00705,2025-07-04,22,2553.22,474.29,744,Web,Rejected,5.2
A00706,2025-04-22,21,1791.87,3103.15,820,Partner,Approved,19.5
A00707,2025-01-31,49,2209.27,2463.55,744,Partner,Approved,12.0
A00708,2025-08-28,28,1873.74,1317.77,675,Web,Rejected,5.7
A00709,2025-09-29,57,1075.41,2315.09,664,Web,Rejected,14.1
A00710,2025-10-23,55,2596.26,1047.35,696,Partner,Approved,27.8
A00711,2025-05-18,48,1529.39,3827.18,711,Mobile App,Approved,19.7
A00712,2025-10-27,28,1610.44,2145.93,682,Mobile App,Rejected,28.1
A00713,2025-12-08,24,2883.14,3853.09,642,Web,Approved,26.3
A00714,2025-02-06,51,2163.15,1839.05,552,Partner,Rejected,7.9
A00715,2025-11-13,50,950.82,2539.6,706,Mobile App,Approved,16.9
A00716,2025-05-25,33,590.82,3610.17,820,Mobile App,Approved,36.1
A00717,2025-12-27,33,2785.95,964.46,581,Web,Rejected,6.5
A00718,2025-01-12,22,547.6,981.44,670,Partner,Approved,30.2
A00719,2025-11-19,55,1180.94,1550.45,753,Partner,Approved,20.3
A00720,2025-06-11,43,1313.1,368.12,588,Web,Approved,12.1
A00721,2025-08-04,22,2884.13,1929.21,505,Mobile App,Approved,7.3
A00722,2025-03-20,44,2799.03,1990.8,707,Web,Rejected,19.5
A00723,2025-06-13,51,3176.5,3909.81,595,Partner,Rejected,14.8
A00724,2025-10-16,37,1950.0,995.3,785,Mobile App,Approved,19.2
A00725,2025-04-09,38,3327.73,3926.1,660,Partner,Approved,22.3
A00726,2025-07-16,31,2907.39,3397.22,714,Mobile App,Approved,18.6
A00727,2025-02-26,34,2642.83,2218.81,645,Mobile App,Approved,15.1
A00728,2025-08-26,23,992.47,2376.77,686,Web,Rejected,10.2
A00729,2025-06-23,56,3138.74,2041.21,766,Mobile App,Approved,24.3
A00730,2025-01-04,36,994.0,1547.45,751,Mobile App,Rejected,28.2
A00731,2025-10-30,29,3326.19,1872.14,782,Partner,Approved,28.0
A00732,2025-12-17,49,2749.33,2366.61,704,Web,Approved,16.7
A00733,2025-03-28,46,2403.49,3475.18,820,Partner,Rejected,9.3
A00734,2025-11-29,51,2529.9,1992.51,640,Web,Approved,11.9
A00735,2025-11-03,45,547.64,1106.68,694,Mobile App,Rejected,17.0
A00736,2025-01-03,46,2133.15,3031.86,747,Partner,Approved,16.5
A00737,2025-11-28,23,1114.26,3650.38,567,Mobile App,Approved,20.3
A00738,2025-01-20,50,503.34,1113.71,743,Mobile App,Rejected,14.3
A00739,2025-12-11,23,3280.62,2626.83,671,Web,Rejected,18.0
A00740,2025-01-22,30,1823.93,2019.62,773,Partner,Rejected,13.6
A00741,2025-02-19,32,801.25,2210.58,587,Web,Rejected,10.1
A00742,2025-02-24,53,2828.9,3580.73,669,Mobile App,Rejected,1.4
A00743,2025-02-06,22,2101.07,3321.14,730,Partner,Approved,12.7
A00744,2025-11-10,55,594.51,406.1,713,Web,Rejected,15.4
A00745,2025-08-23,46,2462.72,2327.62,659,Mobile App,Approved,29.4
A00746,2025-09-17,50,1007.59,2890.89,643,Partner,Rejected,9.3
